Date,Open,High,Low,Close,Volume
11/28/2020,2.8734,3.0731,2.8202,2.9982,19030456.76
11/29/2020,2.9976,3.0986,2.9035,3.0311,16498728.74
11/30/2020,3.0321,3.282,2.9952,3.2615,25341850.19
12/1/2020,3.2599,3.34,2.9206,2.9942,27621880.93
12/2/2020,2.9942,3.0863,2.959,3.0565,11397214.15
12/3/2020,3.0563,3.1346,3.0093,3.0803,10269216.6
12/4/2020,3.0804,3.1482,2.7977,2.8456,16212208.28
12/5/2020,2.845,3.0126,2.8201,3.0079,8528184.62
12/6/2020,3.009,3.0361,2.9086,2.9969,6980771.83
12/7/2020,2.9975,3.009,2.9069,2.9491,7935160.02
12/8/2020,2.9492,2.9604,2.744,2.803,9609375.93
12/9/2020,2.8023,2.836,2.6627,2.8085,11243665.28
12/10/2020,2.8083,2.8147,2.6999,2.7401,6532215.72
12/11/2020,2.741,2.7494,2.6476,2.6938,10162517.13
12/12/2020,2.6945,2.7862,2.6782,2.7672,6975725.45
12/13/2020,2.7668,2.8999,2.7519,2.8507,10072162.97
12/14/2020,2.8505,2.8632,2.7985,2.847,6998578.65
12/15/2020,2.8471,2.9023,2.8063,2.8615,8046692.67
12/16/2020,2.8615,3.1146,2.8159,3.102,16341154.18
12/17/2020,3.1013,3.2573,2.9714,3.0416,31664479.85
12/18/2020,3.0415,3.1314,2.983,3.0594,15551156.84
12/19/2020,3.0597,3.12,3.03,3.0535,12646345.4
12/20/2020,3.0528,3.3323,3.0015,3.1361,28833397.52
12/21/2020,3.1346,3.2784,2.9021,2.9288,28585530.14
12/22/2020,2.9292,2.9539,2.771,2.898,23679544.35
12/23/2020,2.8969,2.9147,1.9964,2.3148,49781788.43
12/24/2020,2.3147,2.6922,2.2508,2.6682,42668258.77
12/25/2020,2.6673,2.7433,2.5422,2.6661,29259347.75
12/26/2020,2.6657,2.6959,2.5251,2.6128,21402740.25
12/27/2020,2.6132,2.8721,2.4773,2.7167,36340504.78
12/28/2020,2.7164,2.8941,2.685,2.7638,21818607.04
12/29/2020,2.7638,2.7937,2.5023,2.6391,22432367.24
12/30/2020,2.6406,2.6723,2.5348,2.6123,16477769.52
12/31/2020,2.6124,2.6567,2.5119,2.5911,13739882.68
1/1/2021,2.5906,2.7313,2.567,2.6378,13298192.52
1/2/2021,2.6381,2.7232,2.5627,2.6321,17549382.44
1/3/2021,2.6316,2.8444,2.5767,2.7985,34686424.89
1/4/2021,2.799,3.122,2.62,2.8191,52251721.55
1/5/2021,2.8199,2.9537,2.7104,2.8862,30181879.28
1/6/2021,2.8861,3.455,2.8474,3.3711,64001252.23
1/7/2021,3.3714,3.4488,3.05,3.1943,70175676.38
1/8/2021,3.1951,3.2531,2.9,3.1094,44115462
1/9/2021,3.1095,3.7391,3.0126,3.6145,67692589.97
1/10/2021,3.6141,3.922,2.85,3.0552,123377042.1
1/11/2021,3.0555,3.0696,2.3859,2.6663,110068969.1
1/12/2021,2.6692,2.7704,2.5305,2.5969,36062487.03
1/13/2021,2.5984,2.7933,2.5243,2.767,27740001.36
1/14/2021,2.7681,2.8589,2.6913,2.8089,32720798.98
1/15/2021,2.8094,2.9369,2.58,2.7566,41381415.15
1/16/2021,2.7567,2.8843,2.7056,2.777,34613368.34
1/17/2021,2.7771,2.8035,2.6804,2.764,21830570.16
1/18/2021,2.7639,2.8351,2.7021,2.8144,21835501.73
1/19/2021,2.8155,2.9272,2.782,2.7895,34691602.04
1/20/2021,2.7897,2.8234,2.656,2.7756,24136427.43
1/21/2021,2.7761,2.7832,2.4958,2.5451,26622270.07
1/22/2021,2.5442,2.6748,2.4309,2.6208,22876177.83
1/23/2021,2.6207,2.7828,2.5747,2.7028,22166538.13
1/24/2021,2.7028,2.7732,2.6461,2.7135,14726360.6
1/25/2021,2.7135,2.7671,2.6308,2.6481,14815480.94
1/26/2021,2.6483,2.6734,2.5537,2.6278,11431400.81
1/27/2021,2.6278,2.6281,2.4633,2.5001,13739860.94
1/28/2021,2.5013,2.7943,2.4736,2.709,28543070.19
1/29/2021,2.7077,2.9,2.6468,2.7232,42065679.73
1/30/2021,2.7255,3.0989,2.688,2.9319,46687724.55
1/31/2021,2.9314,3.0768,2.7947,2.9297,48808848.44
2/1/2021,2.9298,3.28,2.893,3.055,81454074.44
2/2/2021,3.0549,3.0762,2.953,2.9979,25606816.44
2/3/2021,2.9976,3.1385,2.9846,3.0665,21949660.93
2/4/2021,3.0665,3.1488,2.98,3.0226,24736829.9
2/5/2021,3.0226,3.38,3.0105,3.3128,34894929.5
2/6/2021,3.3148,3.3259,3.1333,3.2092,26168387.51
2/7/2021,3.2103,3.59,3.0251,3.44,71730948.25
2/8/2021,3.44,3.6,3.3503,3.5937,45616122.74
2/9/2021,3.5962,4.3102,3.4803,4.1631,74686340.05
2/10/2021,4.1644,4.5391,3.6333,4.126,92504279.48
2/11/2021,4.1262,4.6738,4,4.5833,57897957.72
2/12/2021,4.5799,4.84,4.225,4.7489,52730255.73
2/13/2021,4.7506,5.56,4.49,5.5562,77049397.8
2/14/2021,5.5502,5.6028,4.8614,5.0667,53628704.89
2/15/2021,5.0654,5.2443,4.1244,4.7148,64176584.35
2/16/2021,4.7143,4.972,4.414,4.6447,52643137.62
2/17/2021,4.6438,4.887,4.4211,4.8441,36369451.02
2/18/2021,4.8427,5.007,4.6584,4.8146,32897326.85
2/19/2021,4.815,5.3763,4.65,5.2267,51485574.3
2/20/2021,5.2265,5.4545,4.5186,4.839,51716507.01
2/21/2021,4.84,5.3655,4.7296,5.1008,40374613.6
2/22/2021,5.1008,5.3048,4.099,4.6877,78799750.21
2/23/2021,4.6883,4.7221,3.1862,3.8521,101007395.4
2/24/2021,3.8517,4.1393,3.6775,3.8892,45678448.75
2/25/2021,3.8901,4.0974,3.6238,3.6711,32728301.12
2/26/2021,3.6695,3.7699,3.4,3.5477,38391146.46
2/27/2021,3.5487,3.8398,3.5431,3.6715,24977922.66
2/28/2021,3.6724,3.6996,3.2421,3.4765,31361448.32
